Rank,Brand,CPU Brand,Processor Type,RAM,Storage,Screen Size,Resolution,Price,Product Name
1,Lenovo,AMD,AMD Ryzen 7 7735HS,4GB RAM,512GB SSD,14 inch,UHD,582.98,Lenovo LOQ 15 | 14 inch UHD | 4GB RAM | 512GB SSD | AMD Ryzen 7 7735HS
2,Acer,Intel,Intel Core i5-1334U,32GB RAM,256GB SSD,14 inch,HD,626.9,Acer Spin 5 | 14 inch HD | 32GB RAM | 256GB SSD | Intel Core i5-1334U
3,Dell,Intel,Intel Core i7-1360P,8GB RAM,256GB SSD,13.3 inch,UHD,720.29,Dell XPS 15 | 13.3 inch UHD | 8GB RAM | 256GB SSD | Intel Core i7-1360P
4,Lenovo,Intel,Intel Processor N100,16GB RAM,1TB SSD,16 inch,2K,730.29,Lenovo Yoga Slim 7 | 16 inch 2K | 16GB RAM | 1TB SSD | Intel Processor N100
5,Dell,Intel,Intel Core i7-1360P,16GB RAM,256GB SSD,15.6 inch,UHD,761.55,Dell Precision 3580 | 15.6 inch UHD | 16GB RAM | 256GB SSD | Intel Core i7-1360P
6,Lenovo,AMD,AMD Ryzen 7 7840U,8GB RAM,2TB SSD,16 inch,2K,762.66,Lenovo IdeaPad 5 | 16 inch 2K | 8GB RAM | 2TB SSD | AMD Ryzen 7 7840U
7,Acer,AMD,AMD Ryzen 3 7320U,4GB RAM,512GB SSD,13.3 inch,2K,773.64,Acer Predator Helios 16 | 13.3 inch 2K | 4GB RAM | 512GB SSD | AMD Ryzen 3 7320U
8,Acer,Intel,Intel Core i5-12450H,4GB RAM,128GB Flash,15.6 inch,2K,779.69,Acer Swift 3 | 15.6 inch 2K | 4GB RAM | 128GB Flash | Intel Core i5-12450H
9,Acer,Intel,Intel Core i7-13700H,16GB RAM,128GB Flash,15.6 inch,HD,803.84,Acer Swift X 14 | 15.6 inch HD | 16GB RAM | 128GB Flash | Intel Core i7-13700H
10,Dell,Intel,Intel Core i5-1334U,8GB RAM,2TB SSD,16 inch,2K,845.36,Dell XPS 13 | 16 inch 2K | 8GB RAM | 2TB SSD | Intel Core i5-1334U
11,Samsung,Intel,Intel Core i7-1360P,32GB RAM,1TB SSD,14 inch,UHD,852.49,Samsung Galaxy Book3 | 14 inch UHD | 32GB RAM | 1TB SSD | Intel Core i7-1360P
12,Samsung,Intel,Intel Processor N100,16GB RAM,256GB SSD,15.6 inch,2K,868.85,Samsung Galaxy Book4 | 15.6 inch 2K | 16GB RAM | 256GB SSD | Intel Processor N100
